ps-bj-bgp-a3-08-04,openstack-08-04,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.4,123.59.26.55
ps-bj-bgp-a3-08-05,openstack-08-05,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.5,123.59.26.56
ps-bj-bgp-a3-08-06,openstack-08-06,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.6,123.59.26.57
ps-bj-bgp-a3-08-07,openstack-08-07,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.7,123.59.26.58
ps-bj-bgp-a3-08-08,openstack-08-08,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.8,123.59.26.59
ps-bj-bgp-a3-08-09,openstack-08-09,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.9,123.59.26.60
ps-bj-bgp-a3-08-10,openstack-08-10,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.10,123.59.26.61
ps-bj-bgp-a3-08-11,openstack-08-11,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.11,123.59.26.62
ps-bj-bgp-a3-08-12,openstack-08-12,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.12,123.59.26.63
ps-bj-bgp-a3-08-13,openstack-08-13,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.13,123.59.26.64
ps-bj-bgp-a3-08-14,openstack-08-14,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.14,123.59.26.65
ps-bj-bgp-a3-08-15,openstack-08-15,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.15,123.59.26.66
ps-bj-bgp-a3-08-16,openstack-08-16,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.16,123.59.26.67
ps-bj-bgp-a3-08-17,openstack-08-17,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.17,123.59.26.68
ps-bj-bgp-a3-08-18,openstack-08-18,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.18,123.59.26.69
ps-bj-bgp-a3-08-19,openstack-08-19,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.19,123.59.26.70
ps-bj-bgp-a3-08-20,openstack-08-20,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.20,123.59.26.71
ps-bj-bgp-a3-08-21,openstack-08-21,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.21,123.59.26.72
ps-bj-bgp-a3-08-22,openstack-08-22,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.22,123.59.26.73
ps-bj-bgp-a3-08-23,openstack-08-23,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.23,123.59.26.74
ps-bj-bgp-a3-08-24,openstack-08-24,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.24,123.59.26.75
ps-bj-bgp-a3-08-25,openstack-08-25,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.25,123.59.26.76
ps-bj-bgp-a3-08-26,openstack-08-26,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.26,123.59.26.77
ps-bj-bgp-a3-08-27,openstack-08-27,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.27,123.59.26.78
ps-bj-bgp-a3-08-28,openstack-08-28,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.28,123.59.26.79
ps-bj-bgp-a3-08-29,openstack-08-29,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.29,123.59.26.80
ps-bj-bgp-a3-08-30,openstack-08-30,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.30,123.59.26.81
ps-bj-bgp-a3-08-31,openstack-08-31,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.31,123.59.26.82
ps-bj-bgp-a3-08-32,openstack-08-32,96,1536,cab-bj-bgp-a3-08,4,4,192.168.8.32,123.59.26.83
